name,freq_in_corpus
Володимир,0.07776087601266019
Олександр,0.06785901081639101
Віктор,0.056334031518259754
Сергій,0.05599159528464812
Андрій,0.04548233568819893
Микола,0.03802948770418053
Петро,0.03752106709530822
Юрій,0.03747527185664542
Іван,0.032779671078994516
Ігор,0.0314416089729134
Дмитро,0.030541125045273416
Олег,0.026751335396495806
Михайло,0.025500097324530745
Василь,0.022110875824580524
Олексій,0.02139254479521734
Павло,0.020070931591186773
Віталій,0.017601820549738464
Євген,0.01598524862483037
Анатолій,0.015249066798364725
Роман,0.013798946547062402
Борис,0.012903789820650824
Тарас,0.012514249912978715
Богдан,0.012134616730405752
Леонід,0.012129196069502447
Максим,0.011439557159062792
Валерій,0.010966090467060177
Геннадій,0.00797117531798323
Костянтин,0.007959866697822884
Денис,0.007828649320094564
Ярослав,0.007825191312276936
Вадим,0.007811733119689417
Григорій,0.0076755623794115225
Степан,0.007380790577876536
Владислав,0.006786013233244747
Юлій,0.006579373901223866
Руслан,0.006293480768409811
Артем,0.006179459970098879
Валентин,0.006172450494792878
Георгій,0.006134038570115997
Антон,0.00598954991914165
Бойко,0.005048971792747193
Русудан,0.004848715743977955
Арсен,0.004700554140203618
Ян,0.004512419822990578
Кирило,0.004368118091357724
Житомир,0.0038884830610858285
Ілля,0.003872221078375909
Федір,0.0038101638570001216
Данило,0.003650721658706308
Давид,0.0035740847286940404
Артур,0.0035275418126622005
Святослав,0.0034265119085850537
Адам,0.003374922170332893
Семен,0.003192395433364652
Яків,0.003061738813660812
Олесь,0.0024501387282946227
Микита,0.002382193547661796
Марко,0.002195554585180702
Лев,0.0021424694921965953
Омелян,0.0019710644560472076
Мирослав,0.0019354563214927273
Остап,0.0018028370487032069
Євгеній,0.0017566679713543537
Альберт,0.0017245178446175
Нестор,0.0017132092244571534
Аркадій,0.0016881620326970469
Єгор,0.0016284413030899264
Мир,0.0015279721570372593
Володар,0.001436848978059259
Іоанн,0.0013913341184056325
Мирон,0.001339183622128992
Олекса,0.0012477800641387516
Матвій,0.0012258170415132847
Ростислав,0.0012048820752660315
Влад,0.0011640401991497378
Пилип,0.0011489931921595245
Варфоломій,0.0011170299847641644
Всеволод,0.0010837583419783508
Гнат,0.0010668421415732043
Любомир,0.0010459071753259508
Тимофій,0.0010290844345915509
Лука,0.0010220749592855507
Борислав,0.0009602981169220037
Орест,0.0009535690206282437
Теодор,0.0009476810613712037
Гліб,0.0009365593605523502
Домінік,0.0008988016535706969
Кузьма,0.0008902968235327502
Макар,0.00085777285811291
Жадан,0.0008095476680076298
Маркіян,0.0007809490087591497
Юхим,0.000763191671317283
Левко,0.0007422567050700295
Юліан,0.000734593012068803
Панас,0.0007267423997260828
Родіон,0.0007212282791520295
Тур,0.0007167422149561893
Тимур,0.0007142188038460294
Світ,0.0007121626910896028
Сокіл,0.000704218619076136
Мартин,0.0006712273553025626
Славута,0.0005974876750834423
Потап,0.0005655244676880821
Онуфрій,0.0005437483644041087
Захар,0.0005054298993979753
Переяслав,0.00046150385414704177
Мстислав,0.00045916736237837515
Бажан,0.00044561571012010845
Величко,0.0004433726780221884
Зорян,0.00043813893646037504
Пантелеймон,0.00042355922782389495
Ізяслав,0.00041767126856685495
Іларіон,0.0004153347767981883
Болеслав,0.00041468055910296164
Гаврило,0.0004065495677480016
Троян,0.00039234369779450823
Никифор,0.00036682920768066807
Северин,0.0003655207722902148
Мусій,0.0003635581192045347
Гордій,0.00035533366817882807
Дарій,0.0003538383134468814
Мовчан,0.00034897841056805466
Богуслав,0.00034243623361578795
Фауст,0.00033271642785813465
Сологуб,0.00032972571839424134
Христофор,0.0003219685657222679
Спас,0.00031486563074552124
Назарій,0.0003136506550258146
Радослав,0.0003100991875374413
Августин,0.00030794961511026786
Соловей,0.00030056630112128117
Маврикій,0.0002972952126451478
Лаврін,0.0002918745517418412
Кий,0.0002882296245827211
Азар,0.0002772013834346144
Кіндрат,0.00027579948837341443
Святополк,0.00027028536779936105
Тихон,0.0002668273599817344
Корній,0.0002616870780906677
Ярош,0.000253462627064961
Стоян,0.00022579856452394754
Чеслав,0.00022318169374304085
Драган,0.0002216863390110942
Серафим,0.0002205648229621342
Вернидуб,0.0002191629279009342
Куйбіда,0.00021888254888869418
Лук,0.00021785449251048085
Дан,0.0002158918394248009
Май,0.00021177961391194748
Герасим,0.0002106580978629875
Данко,0.00020402246123997413
Веремій,0.0002032747838740008
Улас,0.0002000971550686141
Божко,0.00019514379251904076
Зиновій,0.0001899100509572274
Никодим,0.00018869507523752073
Аврелій,0.00018804085754229406
Аскольд,0.00018448939005392072
Колодій,0.00018149868059002736
Ждан,0.00017533034232074734
Свирид,0.00017262001186909402
Амвросій,0.00016962930240520065
Мечислав,0.00016233944808696063
Захарій,0.00015121774726810724
Терентій,0.0001494420135239206
Демид,0.00014252599788866721
Ус,0.00013990912710776053
Флор,0.0001395352884247739
Устим,0.00013673149830237388
Боян,0.00013205851476504052
Воїслав,0.0001312173777283205
Хорив,0.00012719861188621384
Курило,0.00012495557978829382
Рафаїл,0.0001210302736169338
Киян,0.00011972183822648047
Рід,0.00011944145921424047
Архип,0.00011747880612856045
Малик,0.0001051421295900004
Охрім,0.0001037402345288004
Каленик,9.056242095352035e-05
Немир,8.355294564752033e-05
Ратибор,7.953417980541364e-05
Радомир,7.869304276869364e-05
