,name,freq,sex
187,Маріанна,0.0002167389351547,F
188,Нінель,0.0002110702942638,F
189,Магдалина,0.0002107968871469,F
190,Елла,0.0002060213761713,F
191,Ніла,0.0002014828180304,F
192,Юстина,0.0001997512396233,F
193,Ріта,0.000198858109708,F
195,Зіновія,0.0001955407700227,F
196,Віталія,0.0001939185544623,F
197,Лев,0.0001939003273211,M
198,Альберт,0.0001927884717123,M
199,Текля,0.000191895341797,F
200,Ліда,0.0001891065892044,F
202,Елеонора,0.0001857527952368,F
203,Броніслава,0.0001823260927048,F
204,Яков,0.0001816699156241,M
206,Емма,0.0001797925200879,F
207,Аліса,0.0001797742929468,F
208,Інга,0.0001788811630315,F
209,Степанида,0.00017837080308,F
210,Стефан,0.0001775323545881,M
211,Кирил,0.000174962327689,M
212,Крістіна,0.0001740327434915,F
213,Любомира,0.0001709523566408,F
214,Клара,0.000169840501032,F
215,Дарина,0.0001698222738909,F
216,Зеновій,0.0001688926896933,M
217,Павлина,0.0001610003375848,F
218,Наталка,0.0001609821104437,F
219,Римма,0.0001574095907826,F
222,Настасія,0.0001488063801701,F
223,Владислава,0.0001479861588193,F
225,Назарій,0.000143247102126,M
226,Гафія,0.0001425544707632,F
227,Віталіна,0.000139401175348,F
228,Ліля,0.0001363207884973,F
229,Ян,0.0001346985729369,M
230,Каріна,0.0001340788501386,F
231,Мотря,0.0001321285460379,F
232,Фросина,0.0001300506519492,F
233,Домна,0.0001292304305985,F
234,Ліана,0.0001273712622034,F
235,Матрьона,0.000125894863772,F
236,Всеволод,0.0001241632853649,M
237,Юхим,0.0001239081053891,M
238,Афанасій,0.0001233066097318,M
239,Килина,0.0001228144769214,F
240,Броніслав,0.0001219578012884,M
243,Фекла,0.0001202991314457,F
245,Марк,0.0001193330929659,M
246,Ярина,0.0001187133701675,F
247,Іраїда,0.0001183123730627,F
248,Домнікія,0.0001178384673934,F
249,Дмитрій,0.0001162527061152,M
250,Серафима,0.0001156147561758,F
251,Арсен,0.0001152502133532,M
252,Люся,0.0001127895493009,F
253,Фаїна,0.000112516142184,F
254,Еліна,0.0001114225137163,F
255,Інесса,0.0001113313780106,F
256,Ядвіга,0.0001111855608816,F
257,Ельміра,0.0001103653395309,F
258,Михайлина,0.0001089436225229,F
259,Омелян,0.0001085061711358,M
260,Рустем,0.0001080687197487,M
261,Юзефа,0.0001079229026197,F
262,Зинаїда,0.0001077953126318,F
264,Тимур,0.000102983347374,M
265,Гаврило,0.0001005591376039,M
266,Зіна,9.981182481770716e-05,F
