name,freq_in_corpus
Юлія,0.06985316663769016
Марія,0.05107809511762934
Олена,0.044850400670156595
Ірина,0.04041694984905916
Ольга,0.04027406786894251
Тетяна,0.03349792157296785
Катерина,0.032281528078523435
Наталія,0.03196320472901576
Олександра,0.02759329213358967
Оксана,0.027198470024816
Анна,0.025076419731623337
Світлана,0.022434051431191718
Ганна,0.021489829142234993
Людмила,0.020008534985538912
Софія,0.01949928084844173
Рада,0.019065261028308626
Надія,0.017563103573630907
Марина,0.015585199702856814
Галина,0.015027896758286778
Вікторія,0.014616953010163664
Леся,0.013977145205393525
Валентина,0.011920213690749602
Ніна,0.010970301411434253
Лариса,0.010826154989015683
Алла,0.010180657193886916
Віра,0.01005294852139327
Єлизавета,0.00974821792663121
Валерія,0.009249395438524845
Зірка,0.00870410469582302
Анастасія,0.008566912706064998
Інна,0.008524869999526247
Кароліна,0.00794449098294622
Марта,0.007708672493638648
Євгенія,0.007087831323397267
Сара,0.006834310641862855
Тереза,0.006522625614440248
Тамара,0.005711485877760317
Уляна,0.005671972055825403
Лідія,0.005455752422197549
Емма,0.005374512004299364
Єва,0.005270511624966669
Аліна,0.005252177211588869
Руслана,0.005078632505650722
Діана,0.00504733755867827
Аліса,0.004933853862081195
Ілона,0.004834911251956168
Христина,0.0047467164013974385
Маргарита,0.00471384090154759
Ліна,0.004566217262798748
Жанна,0.00450520792173124
Романа,0.004435031373974832
Лілія,0.004420490287502783
Ксенія,0.00438445368189814
Тіна,0.0040117593134080245
Олеся,0.003945059981981888
Зоя,0.003906810602348891
Венера,0.0036915393004474753
Соломія,0.003412729772874717
Дарина,0.0032347595188798608
Яна,0.003121908043433744
Гелена,0.003044144841865832
Варвара,0.0028595362657859104
Антоніна,0.002785882501699229
Феодосія,0.0027194992808485725
Поліна,0.002590526166053011
Ніка,0.002572191752675211
Кіра,0.0025541734498728892
Мирослава,0.0025506962335426165
Моніка,0.0025159240702398917
Раїса,0.0024470119647854007
Роза,0.0022895888981967
Іванна,0.002151764687287717
Вероніка,0.0021179408557114305
Неля,0.0020246882359450315
Віталія,0.0019573566833679373
Віта,0.0019289067315747983
Клара,0.001874851823167835
Анжеліка,0.0018669490587808518
Емілія,0.0018277513474214164
Ада,0.0016605288529928576
Меланія,0.0016576838578135434
Зінаїда,0.0016200666993315047
Павла,0.0016115317137935631
Дарія,0.0015894039735100105
Калина,0.0015824495408494658
Анатолія,0.001578656213943714
Орися,0.0015754951081889208
Либідь,0.0015362973968294856
Афіна,0.0015283946324425024
Елеонора,0.0014955191325926535
Станіслава,0.0014952030220171737
Анжела,0.00148319082014896
Мая,0.0014664369596485561
Василина,0.0014401997818837729
Роксолана,0.0014338775703741863
Святослава,0.0014183881521756998
Сільвія,0.001373816561033116
Еріка,0.0013324060756453252
Марічка,0.001284357268172469
Таїсія,0.001281196162417676
Лада,0.0012808800518421964
Зоряна,0.001270448402851379
Белла,0.0012590684221341234
Елла,0.0012511656577471404
Клавдія,0.0012404178981808439
Регіна,0.001199639633944012
Влада,0.0011964785281892184
Діна,0.0011696091292734765
Богдана,0.0011636030283393695
Одарка,0.001156016374527866
Аврора,0.0011370497399991067
Євдокія,0.0011218764323760995
Фаїна,0.0010223016011001143
Інга,0.0010204049376472384
Клеопатра,0.0010162955001660073
Стелла,0.0010143988367131314
Домініка,0.0010102893992319003
Ванда,0.0010004899713920415
Сніжана,0.0009840522214671168
Ангеліна,0.0009685628032686303
Олівія,0.000961292260032606
Аделаїда,0.000958447264853292
Ірма,0.0009549700485230195
Стефанія,0.0009467511735605574
Лоліта,0.0009435900678057642
Владислава,0.0009401128514754917
Магдалина,0.0009141917842861876
Агата,0.0009081856833520806
Камілла,0.0008531824432186793
Констанція,0.000850021337463886
Явдоха,0.0008490730057374482
Злата,0.0008446474576807375
Квітка,0.0008057658568967816
Килина,0.0007997597559626744
Параскева,0.0007991275348117159
Горпина,0.000796282539632402
Ярина,0.0007662520349618668
Ельвіра,0.0007605620446032391
Леля,0.0007577170494239252
Ія,0.0007469692898576282
Аркадія,0.00074159541007448
Адріана,0.0007381181937442075
Берта,0.000734640977413935
Ядвіга,0.0007087199102246309
Кассандра,0.0006913338285732684
Малуша,0.0006590905498743779
Рената,0.0006426527999494533
Розалія,0.000610409521250563
Гертруда,0.0006100934106750837
Юліана,0.0006069323049202905
Віталіна,0.0006012423145616627
Текля,0.0005791145742781105
Евеліна,0.0005753212473723588
Афродіта,0.0005721601416175656
Земфіра,0.0005689990358627723
Симона,0.0005652057089570205
Альбіна,0.000561728492626748
Римма,0.0005500324013340132
Августа,0.0005440263003999063
Павлина,0.0005234791129937505
Мокрина,0.0005181052332106022
Корнелія,0.0004994547092573223
Віолетта,0.0004978741563799258
Мальва,0.0004893391708419843
Аріадна,0.000481120295879522
Ростислава,0.00047384975264349764
Октавія,0.0004719530891906218
Любомира,0.0004627858825017215
Яніна,0.00046088921904884555
Нонна,0.0004574120027185731
Ївга,0.00045393478638830064
Пріська,0.00045140590178446605
Ореста,0.00042864594034995514
Феодора,0.000417582070208179
Інеса,0.0004118920798495513
